"LOB","Claim_Number","Claimant_Sequence","Party_Update","Coverage_Code_Detail","Claim_Type","ref_claim_number"
CA,2885469,3,"3rd Party",Prop Damage,AL,"2885469-3"
CA,2885469,4,"3rd Party",Prop Damage,AL,"2885469-4"
CA,2885469,5,"3rd Party",Prop Damage,AL,"2885469-5"
CA,2885680,1,"3rd Party",Prop Damage,AL,"2885680-1"
CA,2886314,1,"1st Party",Coll,APD,"2886314-1"
CA,2886370,1,"3rd Party",Prop Damage,AL,"2886370-1"
CA,2886404,1,"1st Party",Prop Damage,APD,"2886404-1"
CA,2886404,2,"3rd Party",Prop Damage,AL,"2886404-2"
CA,2886404,3,"3rd Party",Prop Damage,AL,"2886404-3"
CA,2886531,1,"1st Party",Coll,APD,"2886531-1"
CA,2886531,2,"3rd Party",Prop Damage,AL,"2886531-2"
CA,2886531,3,"3rd Party",Prop Damage,AL,"2886531-3"
CA,2886557,1,"1st Party",Comp ,APD,"2886557-1"
CA,2886892,1,"1st Party",Coll,APD,"2886892-1"
CA,2886892,2,"3rd Party",Prop Damage,AL,"2886892-2"
CA,2886915,1,"1st Party",Coll,APD,"2886915-1"
CA,2886915,2,"3rd Party",Coll,AL,"2886915-2"
CA,2887096,1,"1st Party",Prop Damage,APD,"2887096-1"
CA,2887096,2,"3rd Party",Prop Damage,AL,"2887096-2"
CA,2887845,1,"3rd Party",Prop Damage,AL,"2887845-1"
CA,2887845,2,"1st Party",Coll,APD,"2887845-2"
CA,2888010,1,"3rd Party",Prop Damage,AL,"2888010-1"
CA,2888046,1,"3rd Party",Prop Damage,AL,"2888046-1"
CA,2888408,1,"1st Party",Prop Damage,APD,"2888408-1"
CA,2888408,2,"3rd Party",Prop Damage,AL,"2888408-2"
CA,2888625,1,"3rd Party",Prop Damage,AL,"2888625-1"
CA,2888625,2,"3rd Party",Prop Damage,AL,"2888625-2"
CA,2888842,1,"3rd Party",Prop Damage,AL,"2888842-1"
CA,2888842,2,"3rd Party",Prop Damage,AL,"2888842-2"
CA,2888842,3,"3rd Party",Prop Damage,AL,"2888842-3"
CA,2888855,1,"1st Party",Coll,APD,"2888855-1"
CA,2888855,2,"3rd Party",Prop Damage,AL,"2888855-2"
CA,2888855,3,"3rd Party",Prop Damage,AL,"2888855-3"
CA,2888855,4,"3rd Party",Prop Damage,AL,"2888855-4"
CA,2889091,1,"1st Party",Coll,APD,"2889091-1"
CA,2889091,2,"3rd Party",Prop Damage,AL,"2889091-2"
CA,2889091,3,"3rd Party",Prop Damage,AL,"2889091-3"
CA,2889343,1,"1st Party",Comp ,APD,"2889343-1"
CA,2889456,1,"1st Party",Prop Damage,APD,"2889456-1"
CA,2889658,1,"3rd Party",Coll,AL,"2889658-1"
CA,2889658,2,"3rd Party",Prop Damage,AL,"2889658-2"
CA,2889735,1,"1st Party",Prop Damage,APD,"2889735-1"
CA,2889735,2,"3rd Party",Prop Damage,AL,"2889735-2"
CA,2889798,1,"1st Party",Coll,APD,"2889798-1"
CA,2889952,1,"1st Party",Comp ,APD,"2889952-1"
CA,2890332,1,"1st Party",Coll,APD,"2890332-1"
CA,2890332,2,"3rd Party",Prop Damage,AL,"2890332-2"
CA,2890332,3,"3rd Party",Prop Damage,AL,"2890332-3"
CA,2890510,1,"3rd Party",Prop Damage,AL,"2890510-1"
CA,2890554,1,"1st Party",Coll,APD,"2890554-1"
CA,2890554,2,"1st Party",Prop Damage,APD,"2890554-2"
CA,2890625,1,"1st Party",Comp ,APD,"2890625-1"
CA,2890877,1,"1st Party",Coll,APD,"2890877-1"
CA,2890877,2,"3rd Party",Prop Damage,AL,"2890877-2"
CA,2890996,1,"1st Party",Coll,APD,"2890996-1"
CA,2890996,2,"3rd Party",Prop Damage,AL,"2890996-2"
CA,2891169,1,"1st party",Coll,APD,"2891169-1"
CA,2891169,2,"3rd Party",Prop Damage,AL,"2891169-2"
CA,2891291,1,"1st Party",Coll,APD,"2891291-1"
CA,2891291,2,"3rd Party",Prop Damage,AL,"2891291-2"
CA,2891291,3,"1st Party",Med Pay,APD,"2891291-3"
CA,2891291,4,"1st Party",Uninsured/underinsured motorist,APD,"2891291-4"
CA,2891342,1,"1st Party",Comp ,APD,"2891342-1"
CA,2891342,2,"1st Party",Comp ,APD,"2891342-2"
CA,2891458,1,"1st Party",Coll,APD,"2891458-1"
CA,2891651,1,"1st Party",Coll,APD,"2891651-1"
CA,2891651,2,"3rd Party",Prop Damage,AL,"2891651-2"
CA,2891682,1,"1st Party",Towing/VMM/Theft,APD,"2891682-1"
CA,2891711,1,"3rd Party",Prop Damage,AL,"2891711-1"
CA,2891739,1,"1st Party",Prop Damage,APD,"2891739-1"
CA,2891739,2,"3rd Party",Prop Damage,AL,"2891739-2"
CA,2891839,1,"3rd Party",Prop Damage,AL,"2891839-1"
CA,2892889,1,"3rd Party",Prop Damage,AL,"2892889-1"
CA,2892889,2,"3rd Party",Prop Damage,AL,"2892889-2"
CA,2893050,1,"1st Party",Comp ,APD,"2893050-1"
CA,2893308,1,"1st Party",Comp ,APD,"2893308-1"
CA,2894116,1,"1st Party",Coll,APD,"2894116-1"
CA,2894116,2,"3rd Party",Prop Damage,AL,"2894116-2"
CA,2894484,1,"1st Party",Coll,APD,"2894484-1"
CA,2894484,2,"3rd Party",Prop Damage,AL,"2894484-2"
CA,2894608,1,"1st Party",Comp ,APD,"2894608-1"
CA,2894617,1,"1st Party",Comp ,APD,"2894617-1"
CA,2894708,1,"1st Party",Coll,APD,"2894708-1"
CA,2894708,2,"3rd Party",Coll,AL,"2894708-2"
CA,2894870,1,"1st Party",Prop Damage,APD,"2894870-1"
CA,2894870,2,"3rd Party",Prop Damage,AL,"2894870-2"
CA,2894893,1,"3rd Party",Prop Damage,AL,"2894893-1"
CA,2895481,1,"1st Party",Coll,APD,"2895481-1"
CA,2895481,2,"3rd Party",Prop Damage,AL,"2895481-2"
CA,2895931,1,"1st Party",Coll,APD,"2895931-1"
CA,2895931,2,"3rd Party",Prop Damage,AL,"2895931-2"
CA,2896053,1,"3rd Party",Prop Damage,AL,"2896053-1"
CA,2896053,2,"3rd Party",Prop Damage,AL,"2896053-2"
CA,2896053,3,"3rd Party",Prop Damage,AL,"2896053-3"
CA,2896053,4,"3rd Party",Prop Damage,AL,"2896053-4"
CA,2896068,1,"1st Party",Coll,APD,"2896068-1"
CA,2896068,2,"1st Party",Coll,APD,"2896068-2"
CA,2896068,3,"3rd Party",Prop Damage,AL,"2896068-3"
CA,2896068,4,"3rd Party",Coll,AL,"2896068-4"
CA,2896147,1,"1st Party",Coll,APD,"2896147-1"
CA,2896147,2,"3rd Party",Prop Damage,AL,"2896147-2"
CA,2896162,1,"3rd Party",Prop Damage,AL,"2896162-1"
CA,2896231,1,"1st party",Coll,APD,"2896231-1"
CA,2896231,2,"1st party",Coll,APD,"2896231-2"
CA,2896310,1,"1st Party",Prop Damage,APD,"2896310-1"
CA,2896310,2,"3rd Party",Prop Damage,AL,"2896310-2"
CA,2896338,1,"3rd Party",Prop Damage,AL,"2896338-1"
CA,2896440,1,"3rd Party",Prop Damage,AL,"2896440-1"
CA,2896440,2,"3rd Party",Prop Damage,AL,"2896440-2"
CA,2896684,1,"3rd Party",Prop Damage,AL,"2896684-1"
CA,2896822,1,"1st Party",Prop Damage,APD,"2896822-1"
CA,2896822,2,"3rd Party",Prop Damage,AL,"2896822-2"
CA,2897074,1,"1st Party",Coll,APD,"2897074-1"
CA,2897074,2,"3rd Party",Prop Damage,AL,"2897074-2"
CA,2897211,1,"3rd Party",Prop Damage,AL,"2897211-1"
CA,2897211,2,"3rd Party",Prop Damage,AL,"2897211-2"
CA,2897283,1,"1st Party",Prop Damage,APD,"2897283-1"
CA,2897283,2,"3rd Party",Prop Damage,AL,"2897283-2"
CA,2897300,1,"1st Party",Coll,APD,"2897300-1"
CA,2897350,1,"1st Party",Comp ,APD,"2897350-1"
CA,2897351,1,"1st Party",Coll,APD,"2897351-1"
CA,2897351,2,"3rd Party",Prop Damage,AL,"2897351-2"
CA,2907805,1,"1st Party",Coll,APD,"2907805-1"
CA,2907805,2,"3rd Party",Prop Damage,AL,"2907805-2"
CA,2907924,1,"1st Party",Prop Damage,APD,"2907924-1"
CA,2907924,2,"3rd Party",Prop Damage,AL,"2907924-2"
CA,2907924,3,"3rd Party",Prop Damage,AL,"2907924-3"
CA,2908065,1,"1st Party",Comp ,APD,"2908065-1"
CA,2908065,2,"1st Party",Towing/VMM/Theft,APD,"2908065-2"
CA,2908227,1,"1st Party",Coll,APD,"2908227-1"
CA,2908227,2,"3rd Party",Prop Damage,AL,"2908227-2"
CA,2908370,1,"1st Party",Prop Damage,APD,"2908370-1"
CA,2908370,2,"3rd Party",Prop Damage,AL,"2908370-2"
CA,2908370,3,"1st Party",Coll,APD,"2908370-3"
CA,2908370,4,"3rd Party",Prop Damage,AL,"2908370-4"
CA,2908370,5,"3rd Party",Prop Damage,AL,"2908370-5"
CA,2908370,6,"3rd Party",Prop Damage,AL,"2908370-6"
CA,2908856,1,"1st Party",Prop Damage,APD,"2908856-1"
CA,2908856,2,"3rd Party",Prop Damage,AL,"2908856-2"
CA,2909021,1,"1st Party",Coll,APD,"2909021-1"
CA,2909021,2,"3rd Party",Coll,AL,"2909021-2"
CA,2909213,1,"1st Party",Coll,APD,"2909213-1"
CA,2909213,2,"3rd Party",Prop Damage,AL,"2909213-2"
CA,2909225,1,"3rd Party",Prop Damage,AL,"2909225-1"
CA,2909225,2,"3rd Party",Prop Damage,AL,"2909225-2"
CA,2909225,3,"3rd Party",Prop Damage,AL,"2909225-3"
CA,2909225,4,"3rd Party",Prop Damage,AL,"2909225-4"
CA,2909423,1,"1st Party",Coll,APD,"2909423-1"
CA,2909423,2,"3rd Party",Prop Damage,AL,"2909423-2"
CA,2909423,3,"3rd Party",Prop Damage,AL,"2909423-3"
CA,2909423,4,"3rd Party",Prop Damage,AL,"2909423-4"
CA,2909465,1,"3rd Party",Prop Damage,AL,"2909465-1"
CA,2909465,2,"1st Party",Coll,APD,"2909465-2"
CA,2909465,3,"3rd Party",Prop Damage,AL,"2909465-3"
CA,2909465,4,"3rd Party",Prop Damage,AL,"2909465-4"
CA,2909465,5,"3rd Party",Prop Damage,AL,"2909465-5"
CA,2909483,1,"1st Party",Prop Damage,APD,"2909483-1"
CA,2909483,2,"3rd Party",Prop Damage,AL,"2909483-2"
CA,2909495,1,"1st Party",Coll,APD,"2909495-1"
CA,2909495,2,"3rd Party",Prop Damage,AL,"2909495-2"
CA,2909557,1,"3rd Party",Prop Damage,AL,"2909557-1"
CA,2909692,1,"3rd Party",Prop Damage,AL,"2909692-1"
CA,2910056,1,"1st Party",Coll,APD,"2910056-1"
CA,2910070,1,"1st Party",Prop Damage,APD,"2910070-1"
CA,2910070,2,"3rd Party",Prop Damage,AL,"2910070-2"
CA,2910198,1,"1st Party",Coll,APD,"2910198-1"
CA,2910198,2,"3rd Party",Prop Damage,AL,"2910198-2"
CA,2910198,3,"3rd Party",Prop Damage,AL,"2910198-3"
CA,2910363,1,"1st Party",Prop Damage,APD,"2910363-1"
CA,2910363,2,"3rd Party",Prop Damage,AL,"2910363-2"
CA,2910363,3,"3rd Party",Prop Damage,AL,"2910363-3"
CA,2910363,4,"3rd Party",Prop Damage,AL,"2910363-4"
CA,2910825,1,"1st Party",Prop Damage,APD,"2910825-1"
CA,2910825,2,"3rd Party",Prop Damage,AL,"2910825-2"
CA,2910984,1,"1st Party",Prop Damage,APD,"2910984-1"
CA,2910984,2,"3rd Party",Prop Damage,AL,"2910984-2"
CA,2910984,3,"3rd Party",Prop Damage,AL,"2910984-3"
CA,2910984,4,"3rd Party",Prop Damage,AL,"2910984-4"
CA,2911246,1,"3rd Party",Prop Damage,AL,"2911246-1"
CA,2911246,2,"1st Party",Coll,APD,"2911246-2"
CA,2911473,1,"1st Party",Coll,APD,"2911473-1"
CA,2911473,2,"3rd Party",Prop Damage,AL,"2911473-2"
CA,2911473,3,"3rd Party",Prop Damage,AL,"2911473-3"
CA,2911562,1,"1st Party",Comp ,APD,"2911562-1"
CA,2911715,1,"1st Party",Coll,APD,"2911715-1"
CA,2911715,2,"3rd Party",Prop Damage,AL,"2911715-2"
CA,2911715,3,"3rd Party",Prop Damage,AL,"2911715-3"
CA,2911721,1,"1st Party",Comp ,APD,"2911721-1"
CA,2912127,1,"1st Party",Coll,APD,"2912127-1"
CA,2912127,2,"3rd Party",Prop Damage,AL,"2912127-2"
CA,2912127,3,"3rd Party",Prop Damage,AL,"2912127-3"
CA,2912127,4,"3rd Party",Prop Damage,AL,"2912127-4"
CA,2912127,5,"3rd Party",Prop Damage,AL,"2912127-5"
CA,2912127,6,"3rd Party",Prop Damage,AL,"2912127-6"
CA,2912127,7,"3rd Party",Prop Damage,AL,"2912127-7"
CA,2912206,1,"1st Party",Comp ,APD,"2912206-1"
CA,2912243,1,"3rd Party",Prop Damage,AL,"2912243-1"
CA,2912243,2,"3rd Party",Prop Damage,AL,"2912243-2"
CA,2912243,3,"3rd Party",Prop Damage,AL,"2912243-3"
CA,2912572,1,"1st Party",Coll,APD,"2912572-1"
CA,2912572,2,"3rd Party",Prop Damage,AL,"2912572-2"
CA,2912709,1,"1st Party",Prop Damage,APD,"2912709-1"
CA,2912709,2,"3rd Party",Prop Damage,AL,"2912709-2"
CA,2912914,1,"1st party",Prop Damage,APD,"2912914-1"
CA,2913110,1,"1st Party",Prop Damage,APD,"2913110-1"
CA,2913110,2,"3rd Party",Prop Damage,AL,"2913110-2"
CA,2913338,1,"3rd Party",Prop Damage,AL,"2913338-1"
CA,2913338,2,"3rd Party",Prop Damage,AL,"2913338-2"
CA,2913338,3,"1st Party",Coll,APD,"2913338-3"
CA,2913338,4,"3rd Party",Prop Damage,AL,"2913338-4"
CA,2913372,1,"1st Party",Coll,APD,"2913372-1"
CA,2913372,2,"3rd Party",Prop Damage,AL,"2913372-2"
CA,2913479,1,"1st Party",PIP,APD,"2913479-1"
CA,2913479,2,"1st Party",Coll,APD,"2913479-2"
CA,2913479,3,"3rd Party",Prop Damage,AL,"2913479-3"
CA,2913479,4,"3rd Party",Prop Damage,AL,"2913479-4"
CA,2913479,5,"3rd Party",Prop Damage,AL,"2913479-5"
CA,2913479,6,"1st Party",Coll,APD,"2913479-6"
CA,2913544,1,"1st Party",Coll,APD,"2913544-1"
CA,2913608,1,"1st Party",Comp ,APD,"2913608-1"
CA,2913624,1,"1st party",Comp ,APD,"2913624-1"
CA,2913624,2,"1st party",Towing/VMM/Theft,APD,"2913624-2"
CA,2913624,3,"1st party",Towing/VMM/Theft,APD,"2913624-3"
CA,2913721,1,"3rd Party",Prop Damage,AL,"2913721-1"
CA,2913940,1,"3rd Party",Prop Damage,AL,"2913940-1"
CA,2914005,1,"1st Party",Comp ,APD,"2914005-1"
CA,2914346,1,"1st Party",Coll,APD,"2914346-1"
CA,2914346,2,"3rd Party",Prop Damage,AL,"2914346-2"
CA,2914509,1,"1st Party",Comp ,APD,"2914509-1"
CA,2914672,1,"1st Party",Comp ,APD,"2914672-1"
CA,2914856,1,"1st Party",Comp ,APD,"2914856-1"
CA,2914980,1,"1st Party",Coll,APD,"2914980-1"
CA,2914980,2,"3rd Party",Coll,AL,"2914980-2"
CA,2915310,1,"3rd Party",Prop Damage,AL,"2915310-1"
CA,2915445,1,"1st Party",Coll,APD,"2915445-1"
CA,2915445,2,"3rd Party",Prop Damage,AL,"2915445-2"
CA,2915937,1,"3rd Party",Prop Damage,AL,"2915937-1"
CA,2916446,1,"1st Party",Comp ,APD,"2916446-1"
CA,2916511,1,"3rd Party",Coll,AL,"2916511-1"
CA,2916511,2,"3rd Party",Coll,AL,"2916511-2"
CA,2916511,3,"1st Party",Coll,APD,"2916511-3"
CA,2916639,1,"1st Party",Comp ,APD,"2916639-1"
CA,2916840,1,"1st Party",Coll,APD,"2916840-1"
CA,2916840,2,"3rd Party",Prop Damage,AL,"2916840-2"
CA,2916840,3,"3rd Party",Prop Damage,AL,"2916840-3"
CA,2917044,1,"1st Party",Coll,APD,"2917044-1"
CA,2917044,2,"3rd Party",Prop Damage,AL,"2917044-2"
CA,2917083,1,"3rd party",OTC Misc,APD,"2917083-1"
CA,2917083,2,"1st Party",OTC Misc,APD,"2917083-2"
CA,2917112,1,"3rd Party",Prop Damage,AL,"2917112-1"
CA,2917306,1,"1st Party",Prop Damage,APD,"2917306-1"
CA,2917306,2,"3rd Party",Prop Damage,AL,"2917306-2"
CA,2917358,1,"1st Party",Prop Damage,APD,"2917358-1"
CA,2917358,2,"3rd Party",Prop Damage,AL,"2917358-2"
CA,2917464,1,"3rd Party",Prop Damage,AL,"2917464-1"
CA,2917880,1,"1st Party",Comp ,APD,"2917880-1"
CA,2918072,1,"1st Party",Coll,APD,"2918072-1"
CA,2918072,2,"3rd Party",Prop Damage,AL,"2918072-2"
CA,2918127,1,"1st Party",Comp ,APD,"2918127-1"
CA,2918135,1,"1st Party",Comp ,APD,"2918135-1"
CA,2918417,1,"1st Party",Coll,APD,"2918417-1"
CA,2918532,1,"3rd Party",Prop Damage,AL,"2918532-1"
CA,2918532,2,"3rd Party",Prop Damage,AL,"2918532-2"
CA,2918624,1,"1st party",Comp ,APD,"2918624-1"
CA,2918816,1,"3rd Party",Prop Damage,AL,"2918816-1"
CA,2918816,2,"3rd Party",Prop Damage,AL,"2918816-2"
CA,2918816,3,"3rd Party",Prop Damage,AL,"2918816-3"
CA,2918836,1,"1st Party",Coll,APD,"2918836-1"
CA,2918836,2,"3rd Party",Prop Damage,AL,"2918836-2"
CA,2918862,1,"3rd Party",Prop Damage,AL,"2918862-1"
CA,2918862,2,"3rd Party",Prop Damage,AL,"2918862-2"
CA,2919273,1,"1st Party",Coll,APD,"2919273-1"
CA,2919273,2,"3rd Party",Prop Damage,AL,"2919273-2"
CA,2919427,1,"3rd Party",Prop Damage,AL,"2919427-1"
CA,2919472,1,"1st Party",Prop Damage,APD,"2919472-1"
CA,2919472,2,"3rd Party",Prop Damage,AL,"2919472-2"
CA,2919517,1,"1st Party",Coll,APD,"2919517-1"
CA,2919517,2,"3rd Party",Prop Damage,AL,"2919517-2"
CA,2919517,3,"3rd Party",Prop Damage,AL,"2919517-3"
CA,2919517,4,"3rd Party",Prop Damage,AL,"2919517-4"
CA,2919609,1,"1st Party",Coll,APD,"2919609-1"
CA,2919609,2,"3rd Party",Prop Damage,AL,"2919609-2"
CA,2919613,1,"1st Party",Prop Damage,APD,"2919613-1"
CA,2920030,1,"3rd Party",Prop Damage,AL,"2920030-1"
CA,2920449,1,"1st Party",Coll,APD,"2920449-1"
CA,2920449,2,"3rd Party",Prop Damage,AL,"2920449-2"
CA,2920514,1,"1st Party",Coll,APD,"2920514-1"
CA,2920629,1,"1st Party",Coll,APD,"2920629-1"
CA,2920629,2,"3rd Party",Prop Damage,AL,"2920629-2"
CA,2920629,3,"3rd Party",PIP,AL,"2920629-3"
CA,2920629,4,"3rd Party",Coll,AL,"2920629-4"
CA,2920629,5,"3rd Party",Coll,AL,"2920629-5"
CA,2920629,6,"3rd Party",Coll,AL,"2920629-6"
CA,2920629,7,"3rd Party",Med Pay,AL,"2920629-7"
CA,2920629,8,"3rd Party",Uninsured motorist,AL,"2920629-8"
CA,2920685,1,"3rd Party",Prop Damage,AL,"2920685-1"
CA,2920685,2,"3rd Party",Prop Damage,AL,"2920685-2"
CA,2920685,3,"3rd Party",Prop Damage,AL,"2920685-3"
CA,2920685,4,"3rd Party",Prop Damage,AL,"2920685-4"
CA,2920862,1,"3rd Party",Prop Damage,AL,"2920862-1"
CA,2920862,2,"3rd Party",Prop Damage,AL,"2920862-2"
CA,2920920,1,"1st Party",Coll,APD,"2920920-1"
CA,2920920,2,"3rd Party",Prop Damage,AL,"2920920-2"
CA,2920920,3,"3rd Party",Prop Damage,AL,"2920920-3"
CA,2921022,1,"1st party",Coll,APD,"2921022-1"
CA,2921022,2,"3rd Party",Prop Damage,AL,"2921022-2"
CA,2921182,1,"1st Party",Prop Damage,APD,"2921182-1"
CA,2921182,2,"3rd Party",Prop Damage,AL,"2921182-2"
CA,2921546,1,"1st Party",Comp ,APD,"2921546-1"
CA,2921565,1,"1st Party",Coll,APD,"2921565-1"
CA,2921565,2,"3rd Party",Prop Damage,AL,"2921565-2"
CA,2921715,1,"1st Party",Comp ,APD,"2921715-1"
CA,2921748,1,"1st Party",Coll,APD,"2921748-1"
CA,2921748,2,"3rd Party",Prop Damage,AL,"2921748-2"
CA,2921763,1,"1st Party",Coll,APD,"2921763-1"
CA,2921763,2,"3rd Party",Prop Damage,AL,"2921763-2"
CA,2921964,1,"1st Party",Comp ,APD,"2921964-1"
CA,2922071,1,"1st Party",Prop Damage,APD,"2922071-1"
CA,2922071,2,"3rd Party",Prop Damage,AL,"2922071-2"
CA,2922131,1,"1st Party",Coll,APD,"2922131-1"
CA,2922131,2,"3rd Party",Prop Damage,AL,"2922131-2"
CA,2922131,3,"3rd Party",Prop Damage,AL,"2922131-3"
CA,2922131,4,"3rd Party",Prop Damage,AL,"2922131-4"
CA,2922355,1,"1st Party",Coll,APD,"2922355-1"
CA,2922355,2,"3rd Party",Prop Damage,AL,"2922355-2"
CA,2922364,1,"1st Party",Coll,APD,"2922364-1"
CA,2922364,2,"3rd Party",Prop Damage,AL,"2922364-2"
CA,2922364,3,"3rd Party",Prop Damage,AL,"2922364-3"
CA,2922364,4,"3rd Party",Prop Damage,AL,"2922364-4"
CA,2922598,1,"1st Party",Coll,APD,"2922598-1"
CA,2922598,2,"3rd Party",Prop Damage,AL,"2922598-2"
CA,2922598,3,"3rd Party",Prop Damage,AL,"2922598-3"
CA,2922598,4,"3rd Party",Prop Damage,AL,"2922598-4"
CA,2922615,1,"1st Party",Comp ,APD,"2922615-1"
CA,2923015,1,"1st Party",Coll,APD,"2923015-1"
CA,2923964,1,"1st Party",Coll,APD,"2923964-1"
CA,2923964,2,"3rd Party",Coll,AL,"2923964-2"
CA,2924154,1,"1st Party",Prop Damage,APD,"2924154-1"
CA,2933619,2,"3rd Party",Coll,AL,"2933619-2"
CA,2933673,1,"1st Party",Coll,APD,"2933673-1"
CA,2933673,2,"3rd Party",Prop Damage,AL,"2933673-2"
CA,2934169,1,"3rd Party",Comp ,AL,"2934169-1"
CA,2934292,1,"1st Party",Prop Damage,APD,"2934292-1"
CA,2934292,2,"3rd Party",Prop Damage,AL,"2934292-2"
CA,2934782,1,"1st Party",Prop Damage,APD,"2934782-1"
CA,2934782,2,"3rd Party",Prop Damage,AL,"2934782-2"
CA,2934782,3,"3rd Party",Prop Damage,AL,"2934782-3"
CA,2935147,1,"3rd Party",Prop Damage,AL,"2935147-1"
CA,2935405,1,"3rd Party",Prop Damage,AL,"2935405-1"
CA,2935405,2,"3rd Party",Prop Damage,AL,"2935405-2"
CA,2935847,1,"1st Party",Coll,APD,"2935847-1"
CA,2935850,1,"3rd Party",Prop Damage,AL,"2935850-1"
CA,2936242,1,"3rd Party",Prop Damage,AL,"2936242-1"
CA,2936659,1,"1st Party",Prop Damage,APD,"2936659-1"
CA,2936659,2,"3rd Party",Prop Damage,AL,"2936659-2"
CA,2936756,1,"1st Party",Comp ,APD,"2936756-1"
CA,2937018,1,"1st Party",Comp ,APD,"2937018-1"
CA,2937018,2,"3rd Party",Prop Damage,AL,"2937018-2"
CA,2937064,1,"3rd Party",Prop Damage,AL,"2937064-1"
CA,2937064,2,"3rd Party",Prop Damage,AL,"2937064-2"
CA,2937064,3,"3rd Party",Prop Damage,AL,"2937064-3"
CA,2937064,4,"3rd Party",Prop Damage,AL,"2937064-4"
CA,2937064,5,"3rd Party",Prop Damage,AL,"2937064-5"
CA,2937064,6,"3rd Party",Prop Damage,AL,"2937064-6"
CA,2937064,7,"3rd Party",Prop Damage,AL,"2937064-7"
CA,2937064,8,"3rd Party",Prop Damage,AL,"2937064-8"
CA,2937064,9,"3rd Party",Prop Damage,AL,"2937064-9"
CA,2937089,1,"3rd Party",Prop Damage,AL,"2937089-1"
CA,2937127,1,"1st Party",Coll,APD,"2937127-1"
CA,2937172,1,"1st Party",Comp ,APD,"2937172-1"
CA,2937226,1,"1st Party",Coll,APD,"2937226-1"
CA,2937226,2,"3rd Party",Prop Damage,AL,"2937226-2"
CA,2937226,3,"3rd Party",Prop Damage,AL,"2937226-3"
CA,2937593,1,"1st Party",Prop Damage,APD,"2937593-1"
CA,2937593,2,"3rd Party",Prop Damage,AL,"2937593-2"
CA,2937701,1,"1st Party",Prop Damage,APD,"2937701-1"
CA,2937701,2,"3rd Party",Prop Damage,AL,"2937701-2"
CA,2937701,3,"3rd Party",Prop Damage,AL,"2937701-3"
CA,2937840,1,"3rd Party",Prop Damage,AL,"2937840-1"
CA,2937874,1,"1st Party",Prop Damage,APD,"2937874-1"
CA,2937874,2,"3rd Party",Prop Damage,AL,"2937874-2"
CA,2937966,1,"1st Party",Coll,APD,"2937966-1"
CA,2937966,2,"3rd Party",Prop Damage,AL,"2937966-2"
CA,2938091,1,"3rd Party",Prop Damage,AL,"2938091-1"
CA,2938113,1,"3rd Party",Prop Damage,AL,"2938113-1"
CA,2938301,1,"1st Party",Coll,APD,"2938301-1"
CA,2938691,1,"1st Party",Comp ,APD,"2938691-1"
CA,2939610,1,"3rd Party",Prop Damage,AL,"2939610-1"
CA,2940051,1,"1st Party",Coll,APD,"2940051-1"
CA,2940051,2,"3rd Party",Prop Damage,AL,"2940051-2"
CA,2940059,1,"1st Party",Comp ,APD,"2940059-1"
CA,2940088,1,"1st Party",Coll,APD,"2940088-1"
CA,2940088,2,"3rd Party",Prop Damage,AL,"2940088-2"
CA,2924154,2,"3rd Party",Prop Damage,AL,"2924154-2"
CA,2924154,3,"3rd Party",Prop Damage,AL,"2924154-3"
CA,2924198,1,"1st Party",Coll,APD,"2924198-1"
CA,2924198,2,"3rd Party",Prop Damage,AL,"2924198-2"
CA,2924198,3,"3rd Party",Coll,AL,"2924198-3"
CA,2924198,4,"3rd Party",Prop Damage,AL,"2924198-4"
CA,2924198,5,"3rd Party",Coll,AL,"2924198-5"
CA,2924198,6,"3rd Party",Prop Damage,AL,"2924198-6"
CA,2924308,1,"1st Party",Comp ,APD,"2924308-1"
CA,2924459,1,"3rd Party",Prop Damage,AL,"2924459-1"
CA,2924459,2,"3rd Party",Prop Damage,AL,"2924459-2"
CA,2924521,1,"1st Party",Comp ,APD,"2924521-1"
CA,2924521,2,"3rd Party",Prop Damage,AL,"2924521-2"
CA,2924559,1,"1st Party",Coll,APD,"2924559-1"
CA,2924559,2,"3rd Party",Prop Damage,AL,"2924559-2"
CA,2924692,1,"1st Party",Coll,APD,"2924692-1"
CA,2924692,2,"3rd Party",Prop Damage,AL,"2924692-2"
CA,2924745,1,"1st Party",Comp ,APD,"2924745-1"
CA,2924745,2,"1st Party",Comp ,APD,"2924745-2"
CA,2924745,3,"1st Party",Towing/VMM/Theft,APD,"2924745-3"
CA,2924778,1,"3rd Party",Prop Damage,AL,"2924778-1"
CA,2924787,1,"3rd Party",Prop Damage,AL,"2924787-1"
CA,2925272,1,"3rd Party",Prop Damage,AL,"2925272-1"
CA,2925272,2,"1st Party",Coll,APD,"2925272-2"
CA,2925390,1,"1st Party",Prop Damage,APD,"2925390-1"
CA,2925390,2,"3rd Party",Prop Damage,AL,"2925390-2"
CA,2925506,1,"3rd Party",Prop Damage,AL,"2925506-1"
CA,2925506,2,"1st Party",Coll,APD,"2925506-2"
CA,2925544,1,"1st Party",Coll,APD,"2925544-1"
CA,2925544,2,"3rd Party",Prop Damage,AL,"2925544-2"
CA,2925737,1,"1st Party",Prop Damage,APD,"2925737-1"
CA,2925737,2,"3rd Party",Prop Damage,AL,"2925737-2"
CA,2925737,3,"3rd Party",Prop Damage,AL,"2925737-3"
